map	glycans	rescodes	nAtom	nC	nO	nN	nS	nP	nHal	nAromAtom	nRing	nAromRing	ringSizes	nCarbonyl	nEsterC	maxChainC	attach
*NCC/3=O	56026	3203	4	2	1	1	0	0	0	0	0	0	-	1	0	2	N
*OCC/3=O	23318	10718	4	2	2	0	0	0	0	0	0	0	-	1	1	2	O
*OC(CCCCCC$4)	18535	7672	8	7	1	0	0	0	0	6	1	1	6	0	0	1	O
*OC(CCCCCC$4)/3=O	10627	4980	9	7	2	0	0	0	0	6	1	1	6	1	1	1	O
*OC	10093	5298	2	1	1	0	0	0	0	0	0	0	-	0	0	1	O
*OSO/3=O/3=O	8159	1520	5	0	4	0	1	0	0	0	0	0	-	0	0	0	O
*N	7356	2603	1	0	0	1	0	0	0	0	0	0	-	0	0	0	N
*OPO/3O/3=O	2679	1168	5	0	4	0	0	1	0	0	0	0	-	0	0	0	O
*F	1673	1474	1	0	0	0	0	0	1	0	0	0	-	0	0	0	F
*C	1630	1334	1	1	0	0	0	0	0	0	0	0	-	0	0	1	C
*NCCO/3=O	1460	129	5	2	2	1	0	0	0	0	0	0	-	1	0	2	N
*OCCCC	1302	1006	5	4	1	0	0	0	0	0	0	0	-	0	0	4	O
*OCCC/4C/4C/3=O	1194	779	7	5	2	0	0	0	0	0	0	0	-	1	1	3	O
*NSO/3=O/3=O	1188	195	5	0	3	1	1	0	0	0	0	0	-	0	0	0	N
*OCC=C	925	644	4	3	1	0	0	0	0	0	0	0	-	0	0	3	O
*OP^XOCCNC/7C/7C/3O/3=O	899	751	11	5	4	1	0	1	0	0	0	0	-	0	0	2	O
*OS(CCCCCC$4/7)C/3=O/3=O	829	791	11	7	3	0	1	0	0	6	1	1	6	0	0	1	O
*OSC/3=O/3=O	716	703	5	1	3	0	1	0	0	0	0	0	-	0	0	1	O
*OCCCCCCCCCCCCCCCC/3=O	675	548	18	16	2	0	0	0	0	0	0	0	-	1	1	16	O
*Cl	605	513	1	0	0	0	0	0	1	0	0	0	-	0	0	0	Cl
*OP^XOCCN/3O/3=O	602	159	8	2	4	1	0	1	0	0	0	0	-	0	0	2	O
*OC(CCCCCC$4/7)OC	588	500	10	8	2	0	0	0	0	6	1	1	6	0	0	1	O
*OC(CCCCCC$4)/3(CCCCCC$10)/3(CCCCCC$16)	567	528	20	19	1	0	0	0	0	18	3	3	6,6,6	0	0	1	O
*I	541	489	1	0	0	0	0	0	1	0	0	0	-	0	0	0	I
*OCCCCCCCCCCCCCCCCCC/3=O	518	432	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*OC(CCCCCC$4/8)O(/7)O(/6)O/3=O	499	434	12	7	5	0	0	0	0	6	1	1	6	1	1	1	O
*OCCCC/3=O	471	418	6	4	2	0	0	0	0	0	0	0	-	1	1	4	O
*Br	454	392	1	0	0	0	0	0	1	0	0	0	-	0	0	0	Br
*OCC	438	364	3	2	1	0	0	0	0	0	0	0	-	0	0	2	O
*OCCCCCCCCC=^ZCCCCCCCCC/3=O	427	366	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*NC(CCCCCC$4)/3=O	420	402	9	7	1	1	0	0	0	6	1	1	6	1	0	1	N
*OCCC/3=O	390	347	5	3	2	0	0	0	0	0	0	0	-	1	1	3	O
*S	375	272	1	0	0	0	1	0	0	0	0	0	-	0	0	0	S
*NC	342	259	2	1	0	1	0	0	0	0	0	0	-	0	0	1	N
*OCCCCCCCCCCCCCC/3=O	342	311	16	14	2	0	0	0	0	0	0	0	-	1	1	14	O
*NCCF/4F/4F/3=O	325	304	7	2	1	1	0	0	3	0	0	0	-	1	0	2	N
*NC/2C	324	215	3	2	0	1	0	0	0	0	0	0	-	0	0	1	N
*OCCCCCCCCC=^ZCCC=^ZCCCCCC/3=O	274	231	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*OC(CCCCCC$4/7)C/3=O	266	225	10	8	2	0	0	0	0	6	1	1	6	1	1	1	O
*OCC/3C	264	247	4	3	1	0	0	0	0	0	0	0	-	0	0	3	O
*OCCC/4C/3=O	263	179	6	4	2	0	0	0	0	0	0	0	-	1	1	3	O
*OCCCCCCCCCCCC/3=O	249	181	14	12	2	0	0	0	0	0	0	0	-	1	1	12	O
*NCOC(CCCCCC$6)/3=O	222	194	11	8	2	1	0	0	0	6	1	1	6	1	1	1	N
*SO/2=O/2=O	216	103	4	0	3	0	1	0	0	0	0	0	-	0	0	0	S
*OSCF/4F/4F/3=O/3=O	208	198	8	1	3	0	1	0	3	0	0	0	-	0	0	1	O
*OCCCl/3=O	206	172	5	2	2	0	0	0	1	0	0	0	-	1	1	2	O
*OCCCCCCCCC=^ZCCCCCCC/3=O	199	183	18	16	2	0	0	0	0	0	0	0	-	1	1	16	O
*OCCCCCCCC/3=O	190	150	10	8	2	0	0	0	0	0	0	0	-	1	1	8	O
*OCCCCCCCCCCC=^ZCCCCCCC/3=O	186	158	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*NC=O	184	72	3	1	1	1	0	0	0	0	0	0	-	1	0	1	N
*NC^S(CCCCCC$4)/3C	183	177	9	8	0	1	0	0	0	6	1	1	6	0	0	2	N
*NCCNCC$2/5C	174	135	7	5	0	2	0	0	0	0	1	0	6	0	0	1	N
*OCCCCCCCCCC/3=O	170	128	12	10	2	0	0	0	0	0	0	0	-	1	1	10	O
*OP^XOP^XOCCN/5O/5=O/3O/3=O	170	14	12	2	7	1	0	2	0	0	0	0	-	0	0	2	O
*CO	164	90	2	1	1	0	0	0	0	0	0	0	-	0	0	1	C
*NC^R(CCCCCC$4)/3C	162	156	9	8	0	1	0	0	0	6	1	1	6	0	0	2	N
*NCOCCCl/6Cl/6Cl/3=O	161	114	9	3	2	1	0	0	3	0	0	0	-	1	1	2	N
*OC=O	159	139	3	1	2	0	0	0	0	0	0	0	-	1	1	1	O
*OCCCCC/6=O/3=O	158	133	8	5	3	0	0	0	0	0	0	0	-	2	1	5	O
*OCCCCCC/3=O	158	117	8	6	2	0	0	0	0	0	0	0	-	1	1	6	O
*OCCC	155	141	4	3	1	0	0	0	0	0	0	0	-	0	0	3	O
*(CCCCCC$2/5)O(/4)O	154	62	8	6	2	0	0	0	0	6	1	1	6	0	0	0	C
*N(CCCCCN$3)	154	4	7	5	0	2	0	0	0	6	1	1	6	0	0	0	N
*NCCCCC$2	154	137	6	5	0	1	0	0	0	0	1	0	6	0	0	0	N
*OC(CCCCCC$4/7)OC/3=O	154	113	11	8	3	0	0	0	0	6	1	1	6	1	1	1	O
*NC(CCCCCC$4/5)CC$2	151	123	10	9	0	1	0	0	0	6	2	1	6,6	0	0	0	N
*OCCCCCCCC	151	119	9	8	1	0	0	0	0	0	0	0	-	0	0	8	O
*NCCOCC$2	148	134	6	4	1	1	0	0	0	0	1	0	6	0	0	0	N
*OCCCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCCCCC/3=O	147	137	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*1O(CCCCCC$3/7)O(/5)O(/4)*2	146	99	9	6	3	0	0	0	0	6	1	1	6	0	0	0	O
*N=^XCC/3O	144	6	4	2	1	1	0	0	0	0	0	0	-	0	0	2	N
*OCC=^EC(CCCCCC$6/9)O(/8)OC/3=O	144	92	14	10	4	0	0	0	0	6	1	1	6	1	1	3	O
*NCCNCCCCC$5	138	127	9	7	0	2	0	0	0	0	1	0	6	0	0	2	N
*OCCCCCCCCC=^ZCCC=^ZCCC=^ZCCC/3=O	135	124	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*1O(CCCCCC$3/6)NCCNC/12C/10=O(/4)*2	132	132	14	10	2	2	0	0	0	6	1	1	6	1	0	2	O
*OCN/3=O	129	108	4	1	2	1	0	0	0	0	0	0	-	1	1	1	O
*1O(CCCCCC$3/6)NCCOC/10=O(/4)*2	127	127	13	9	3	1	0	0	0	6	1	1	6	1	0	2	O
*NC(CCCCCC$4/5)OC	127	115	10	8	1	1	0	0	0	6	1	1	6	0	0	1	N
*1O(CCCCCC$3/6)NC(CCCCCC$11/14)OCO($13/4)*2/10=O	126	126	19	14	4	1	0	0	0	12	3	2	5,6,6	1	0	1	O
*NCCNCCOCC$5/3=O	126	126	10	6	2	2	0	0	0	0	1	0	6	1	0	2	N
*NCC(CCCCCN$5)/3=O	121	121	10	7	1	2	0	0	0	6	1	1	6	1	0	2	N
*OP^XOCC^XC^XCC^RC^X$5/10O/9O/8O/7O/6O/3O/3=O	121	121	16	6	9	0	0	1	0	0	1	0	6	0	0	0	O
*(CCCCCC$2)	120	116	6	6	0	0	0	0	0	6	1	1	6	0	0	0	C
*NC(CCCCCC$4/6)F	118	102	9	7	0	1	0	0	1	6	1	1	6	0	0	1	N
*1O(CCCCCC$3/6)NS(CCCCCC$11/14)F/10=O/10=O(/4)*2	116	116	18	12	3	1	1	0	1	12	2	2	6,6	0	0	0	O
*N(CCCCCCCCCC$7/6CC$3)	116	84	13	12	0	1	0	0	0	12	2	2	6,6	0	0	0	N
*OCCCC/5C/3=O	116	102	7	5	2	0	0	0	0	0	0	0	-	1	1	4	O
