skeleton	glycans	primary_class	oversized	unsaturated	open_chain	polyol	undersized	no_anomeric	unknown_stereo	nC	first	last
a2122h	55186	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a2112h	39473	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a1122h	33434	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a1221m	12440	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
Aad21122h	9361	standard	0	0	0	0	0	0	0	9	SZ2_ACID_U	SZ3_HYDROXYL
a2211m	4253	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
a212h	3434	standard	0	0	0	0	0	0	0	5	SZX_ANOMER	SZ3_HYDROXYL
a2122A	3146	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ2_ACID_U
axxxxh	2898	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
h2h	2851	polyol	0	0	0	1	1	1	0	3	SZ3_HYDROXYL	SZ3_HYDROXYL
h2122h	2395	polyol	0	0	0	1	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
a11221h	1814	standard	0	0	0	0	0	0	0	7	SZX_ANOMER	SZ3_HYDROXYL
a2112m	1728	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
Aad1122h	1554	standard	0	0	0	0	0	0	0	8	SZ2_ACID_U	SZ3_HYDROXYL
a211h	1514	standard	0	0	0	0	0	0	0	5	SZX_ANOMER	SZ3_HYDROXYL
ha122h	1473	standard	0	0	0	0	0	0	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
ax12xh	1398	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
h2112h	1371	polyol	0	0	0	1	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
a2222h	1209	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a222h	1200	standard	0	0	0	0	0	0	0	5	SZX_ANOMER	SZ3_HYDROXYL
