skeleton	glycans	rescodes	nC	first	last	nAnomer	nStereoDef	nStereoUnk	nDeoxy	nUndef	nCarbonyl	nAcid	nDouble	nTriple	nSP3	nSP2	nSP	nSPX	unknownChars
a2122h	55186	3387	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a2112h	39473	1671	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a1122h	33434	1197	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a1221m	12440	235	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
Aad21122h	9361	224	9	SZ2_ACID_U	SZ3_HYDROXYL	1	5	0	1	0	0	1	0	0	8	1	0	0	-
a2211m	4253	363	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
a212h	3434	562	5	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	5	0	0	0	-
a2122A	3146	162	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
axxxxh	2898	893	6	SZX_ANOMER	SZ3_HYDROXYL	1	0	4	0	0	0	0	0	0	6	0	0	0	-
h2h	2851	1811	3	SZ3_HYDROXYL	SZ3_HYDROXYL	0	1	0	0	0	0	0	0	0	3	0	0	0	-
h2122h	2395	60	6	SZ3_HYDROXYL	SZ3_HYDROXYL	0	4	0	0	0	0	0	0	0	6	0	0	0	-
a11221h	1814	108	7	SZX_ANOMER	SZ3_HYDROXYL	1	5	0	0	0	0	0	0	0	7	0	0	0	-
a2112m	1728	204	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
Aad1122h	1554	45	8	SZ2_ACID_U	SZ3_HYDROXYL	1	4	0	1	0	0	1	0	0	7	1	0	0	-
a211h	1514	293	5	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	5	0	0	0	-
ha122h	1473	442	6	SZ3_HYDROXYL	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	6	0	0	0	-
ax12xh	1398	361	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
h2112h	1371	20	6	SZ3_HYDROXYL	SZ3_HYDROXYL	0	4	0	0	0	0	0	0	0	6	0	0	0	-
a2222h	1209	307	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a222h	1200	663	5	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	5	0	0	0	-
a122h	1165	374	5	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	5	0	0	0	-
axx2xh	987	359	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	3	0	0	0	0	0	0	6	0	0	0	-
ax11xh	952	240	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
a2121A	921	62	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
a2122m	908	201	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
a2112A	854	64	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
a1112h	807	226	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a1211h	739	225	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
hxh	729	370	3	SZ3_HYDROXYL	SZ3_HYDROXYL	0	0	1	0	0	0	0	0	0	3	0	0	0	-
axx1xh	652	201	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	3	0	0	0	0	0	0	6	0	0	0	-
a1122m	634	145	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
hdxdh	564	300	5	SZ3_HYDROXYL	SZ3_HYDROXYL	0	0	1	2	0	0	0	0	0	5	0	0	0	-
a2212h	530	168	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a1222h	527	224	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a1221h	523	209	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a2121h	480	218	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a2221h	480	179	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
axxxh	478	297	5	SZX_ANOMER	SZ3_HYDROXYL	1	0	3	0	0	0	0	0	0	5	0	0	0	-
a1121h	470	228	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a1x2xh	459	156	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
axxxxm	432	155	6	SZX_ANOMER	SZ3_METHYL_L	1	0	4	1	0	0	0	0	0	6	0	0	0	-
ad122m	385	95	6	SZX_ANOMER	SZ3_METHYL_L	1	3	0	2	0	0	0	0	0	6	0	0	0	-
a2211h	362	114	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
ad22h	360	190	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	0	1	0	0	0	0	0	5	0	0	0	-
Ad1dd11h	355	206	8	SZ2_ACID_U	SZ3_HYDROXYL	0	3	0	3	0	0	1	0	0	7	1	0	0	-
Ad1dd22h	342	207	8	SZ2_ACID_U	SZ3_HYDROXYL	0	3	0	3	0	0	1	0	0	7	1	0	0	-
Ad2dd22h	340	208	8	SZ2_ACID_U	SZ3_HYDROXYL	0	3	0	3	0	0	1	0	0	7	1	0	0	-
ad222m	337	72	6	SZX_ANOMER	SZ3_METHYL_L	1	3	0	2	0	0	0	0	0	6	0	0	0	-
Ad2dd11h	331	203	8	SZ2_ACID_U	SZ3_HYDROXYL	0	3	0	3	0	0	1	0	0	7	1	0	0	-
a2111h	311	117	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
ad122h	309	163	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	1	0	0	0	0	0	6	0	0	0	-
ax22xh	308	124	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
a11222h	303	40	7	SZX_ANOMER	SZ3_HYDROXYL	1	5	0	0	0	0	0	0	0	7	0	0	0	-
a1x1xh	292	79	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
a1111h	290	120	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a1212h	259	131	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a112h	250	133	5	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	5	0	0	0	-
h1122h	248	28	6	SZ3_HYDROXYL	SZ3_HYDROXYL	0	4	0	0	0	0	0	0	0	6	0	0	0	-
a2221m	247	101	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
axx21h	247	63	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
axxxxA	238	43	6	SZX_ANOMER	SZ2_ACID_U	1	0	4	0	0	0	1	0	0	5	1	0	0	-
a1122A	231	36	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
Ad1d111h	207	207	8	SZ2_ACID_U	SZ3_HYDROXYL	0	4	0	2	0	0	1	0	0	7	1	0	0	-
Ad2d222h	207	207	8	SZ2_ACID_U	SZ3_HYDROXYL	0	4	0	2	0	0	1	0	0	7	1	0	0	-
Ad1d112h	204	204	8	SZ2_ACID_U	SZ3_HYDROXYL	0	4	0	2	0	0	1	0	0	7	1	0	0	-
Ad1d221h	204	204	8	SZ2_ACID_U	SZ3_HYDROXYL	0	4	0	2	0	0	1	0	0	7	1	0	0	-
haxxxh	203	93	6	SZ3_HYDROXYL	SZ3_HYDROXYL	1	0	3	0	0	0	0	0	0	6	0	0	0	-
