rescode	glycans	type	smiles
a1221h-1a_1-5_3-6	55	backbone_bicyclic	[C@@H]1([C@H]([C@H]2[C@@H]([C@H](CO2)O1)O)O)O
a2122h-1a_1-5_3-6	29	backbone_bicyclic	[C@H]1([C@@H]([C@@H]2[C@@H]([C@@H](CO2)O1)O)O)O
a2112h-1a_1-5_3-6	21	backbone_bicyclic	[C@H]1([C@@H]([C@@H]2[C@H]([C@@H](CO2)O1)O)O)O
a2112h-1a_1-5_3-6_2*OSO/3=O/3=O	12	backbone_bicyclic	[C@H]1([C@@H]([C@@H]2[C@H]([C@@H](CO2)O1)O)OS(O)(=O)=O)O
a1221h-1a_1-5_3-6_2*OC	5	backbone_bicyclic	[C@@H]1([C@H]([C@H]2[C@@H]([C@H](CO2)O1)O)OC)O
a2112h-1x_1-5_3-6	3	backbone_bicyclic	C1([C@@H]([C@@H]2[C@H]([C@@H](CO2)O1)O)O)O
a1221h-1b_1-5_3-6	2	backbone_bicyclic	[C@H]1([C@H]([C@H]2[C@@H]([C@H](CO2)O1)O)O)O
a1221h-1x_1-5_3-6	2	backbone_bicyclic	C1([C@H]([C@H]2[C@@H]([C@H](CO2)O1)O)O)O
a2122h-1b_1-5_4-6*OC^XO*/3CO/6=O/3C	25	bridged_ring	[C@@H]1([C@@H]([C@H]([C@H]2[C@@H](COC(O2)(C(O)=O)C)O1)O)O)O
a2112h-1b_1-5_4-6*OC^XO*/3CO/6=O/3C	22	bridged_ring	[C@@H]1([C@@H]([C@H]([C@@H]2[C@@H](COC(O2)(C(O)=O)C)O1)O)O)O
a2112h-1b_1-5_4-6*OPO*/3O/3=O	10	bridged_ring	[C@@H]1([C@@H]([C@H]([C@@H]2[C@@H](COP(O2)(O)=O)O1)O)O)O
a2112h-1b_1-5_3-4*OC^XO*/3CO/6=O/3C	8	bridged_ring	[C@@H]1([C@@H]([C@@H]2[C@H]([C@@H](CO)O1)OC(O2)(C(O)=O)C)O)O
a1122h-1b_1-5_4-6*OC^XO*/3CO/6=O/3C	6	bridged_ring	[C@@H]1([C@H]([C@H]([C@H]2[C@@H](COC(O2)(C(O)=O)C)O1)O)O)O
