map	glycans	primary_class	aromatic	lipid	multi_acyl	alicyclic	macrocycle	sulfate	phosphate	halogen	acyl	maxRing	maxChainC	attach
*NCC/3=O	51979	acyl_short	0	0	0	0	0	0	0	0	1	0	2	N
*OCC/3=O	14755	acyl_short	0	0	0	0	0	0	0	0	1	0	2	O
*OC	7980	simple	0	0	0	0	0	0	0	0	0	0	1	O
*OSO/3=O/3=O	7452	sulfate	0	0	0	0	0	1	0	0	0	0	0	O
*N	5722	simple	0	0	0	0	0	0	0	0	0	0	0	N
*OPO/3O/3=O	2084	phosphate	0	0	0	0	0	0	1	0	0	0	0	O
*NCCO/3=O	1446	acyl_short	0	0	0	0	0	0	0	0	1	0	2	N
*NSO/3=O/3=O	1073	sulfate	0	0	0	0	0	1	0	0	0	0	0	N
*F	1057	halogen	0	0	0	0	0	0	0	1	0	0	0	F
*OCC	373	simple	0	0	0	0	0	0	0	0	0	0	2	O
*I	295	halogen	0	0	0	0	0	0	0	1	0	0	0	I
*S	289	sulfate	0	0	0	0	0	1	0	0	0	0	0	S
*NC	270	simple	0	0	0	0	0	0	0	0	0	0	1	N
*Br	245	halogen	0	0	0	0	0	0	0	1	0	0	0	Br
*NC=O	142	acyl_short	0	0	0	0	0	0	0	0	1	0	1	N
*OCCC	119	simple	0	0	0	0	0	0	0	0	0	0	3	O
*OC=O	106	acyl_short	0	0	0	0	0	0	0	0	1	0	1	O
*OCCO	92	simple	0	0	0	0	0	0	0	0	0	0	2	O
*OC^XO*/3CO/6=O/3C	88	acyl_short	0	0	0	0	0	0	0	0	1	0	3	O
*OC^RCO/4=O/3C	83	acyl_short	0	0	0	0	0	0	0	0	1	0	3	O
*SC	73	sulfate	0	0	0	0	0	1	0	0	0	0	1	S
*CO	66	simple	0	0	0	0	0	0	0	0	0	0	1	C
*NCC	43	simple	0	0	0	0	0	0	0	0	0	0	2	N
*OCCN	42	simple	0	0	0	0	0	0	0	0	0	0	2	O
*SO/2=O/2=O	40	sulfate	0	0	0	0	0	1	0	0	0	0	0	S
*C	35	simple	0	0	0	0	0	0	0	0	0	0	1	C
*OPOPO/5O/5=O/3O/3=O	32	phosphate	0	0	0	0	0	0	1	0	0	0	0	O
*SCC	27	sulfate	0	0	0	0	0	1	0	0	0	0	2	S
*OPOPOPO/7O/7=O/5O/5=O/3O/3=O	21	phosphate	0	0	0	0	0	0	1	0	0	0	0	O
*OPO*/3O/3=O	20	phosphate	0	0	0	0	0	0	1	0	0	0	0	O
*NC/2C	15	simple	0	0	0	0	0	0	0	0	0	0	1	N
*OCCO/3=O	12	acyl_short	0	0	0	0	0	0	0	0	1	0	2	O
*OCCOC	12	simple	0	0	0	0	0	0	0	0	0	0	2	O
*C=O	6	acyl_short	0	0	0	0	0	0	0	0	1	0	1	C
*OCC^XC/4O/3=O	3	acyl_short	0	0	0	0	0	0	0	0	1	0	3	O
*CO/2=O	1	acyl_short	0	0	0	0	0	0	0	0	1	0	1	C
*OCCN/3=O	1	acyl_short	0	0	0	0	0	0	0	0	1	0	2	O
*OCO	1	simple	0	0	0	0	0	0	0	0	0	0	1	O
*OC^SCO/4=O/3C	1	acyl_short	0	0	0	0	0	0	0	0	1	0	3	O
