map	glycans	rescodes	nAtom	nC	nO	nN	nS	nP	nHal	nAromAtom	nRing	nAromRing	ringSizes	nCarbonyl	nEsterC	maxChainC	attach
*NCC/3=O	51979	1989	4	2	1	1	0	0	0	0	0	0	-	1	0	2	N
*OCC/3=O	14755	6616	4	2	2	0	0	0	0	0	0	0	-	1	1	2	O
*OC	7980	3730	2	1	1	0	0	0	0	0	0	0	-	0	0	1	O
*OSO/3=O/3=O	7452	1275	5	0	4	0	1	0	0	0	0	0	-	0	0	0	O
*N	5722	1839	1	0	0	1	0	0	0	0	0	0	-	0	0	0	N
*OPO/3O/3=O	2084	819	5	0	4	0	0	1	0	0	0	0	-	0	0	0	O
*NCCO/3=O	1446	119	5	2	2	1	0	0	0	0	0	0	-	1	0	2	N
*NSO/3=O/3=O	1073	160	5	0	3	1	1	0	0	0	0	0	-	0	0	0	N
*F	1057	879	1	0	0	0	0	0	1	0	0	0	-	0	0	0	F
*OCC	373	300	3	2	1	0	0	0	0	0	0	0	-	0	0	2	O
*I	295	266	1	0	0	0	0	0	1	0	0	0	-	0	0	0	I
*S	289	210	1	0	0	0	1	0	0	0	0	0	-	0	0	0	S
*NC	270	210	2	1	0	1	0	0	0	0	0	0	-	0	0	1	N
*Br	245	194	1	0	0	0	0	0	1	0	0	0	-	0	0	0	Br
*NC=O	142	58	3	1	1	1	0	0	0	0	0	0	-	1	0	1	N
*OCCC	119	112	4	3	1	0	0	0	0	0	0	0	-	0	0	3	O
*OC=O	106	87	3	1	2	0	0	0	0	0	0	0	-	1	1	1	O
*OCCO	92	79	4	2	2	0	0	0	0	0	0	0	-	0	0	2	O
*OC^XO*/3CO/6=O/3C	88	18	7	3	4	0	0	0	0	0	0	0	-	1	1	3	O
*OC^RCO/4=O/3C	83	49	6	3	3	0	0	0	0	0	0	0	-	1	1	3	O
*SC	73	47	2	1	0	0	1	0	0	0	0	0	-	0	0	1	S
*CO	66	19	2	1	1	0	0	0	0	0	0	0	-	0	0	1	C
*NCC	43	40	3	2	0	1	0	0	0	0	0	0	-	0	0	2	N
*OCCN	42	36	4	2	1	1	0	0	0	0	0	0	-	0	0	2	O
*SO/2=O/2=O	40	26	4	0	3	0	1	0	0	0	0	0	-	0	0	0	S
*C	35	23	1	1	0	0	0	0	0	0	0	0	-	0	0	1	C
*OPOPO/5O/5=O/3O/3=O	32	29	9	0	7	0	0	2	0	0	0	0	-	0	0	0	O
*SCC	27	27	3	2	0	0	1	0	0	0	0	0	-	0	0	2	S
*OPOPOPO/7O/7=O/5O/5=O/3O/3=O	21	18	13	0	10	0	0	3	0	0	0	0	-	0	0	0	O
*OPO*/3O/3=O	20	11	5	0	4	0	0	1	0	0	0	0	-	0	0	0	O
*NC/2C	15	12	3	2	0	1	0	0	0	0	0	0	-	0	0	1	N
*OCCO/3=O	12	5	5	2	3	0	0	0	0	0	0	0	-	1	1	2	O
*OCCOC	12	12	5	3	2	0	0	0	0	0	0	0	-	0	0	2	O
*C=O	6	3	2	1	1	0	0	0	0	0	0	0	-	1	0	1	C
*OCC^XC/4O/3=O	3	3	6	3	3	0	0	0	0	0	0	0	-	1	1	3	O
*CO/2=O	1	1	3	1	2	0	0	0	0	0	0	0	-	1	1	1	C
*OCCN/3=O	1	1	5	2	2	1	0	0	0	0	0	0	-	1	1	2	O
*OCO	1	1	3	1	2	0	0	0	0	0	0	0	-	0	0	1	O
*OC^SCO/4=O/3C	1	1	6	3	3	0	0	0	0	0	0	0	-	1	1	3	O
