rescode	glycans	smiles
h2122h_2*NCC/3=O	1165	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)NC(C)=O)O
h2112h_2*NCC/3=O	1131	C([C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)NC(C)=O)O
h2122h	801	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
hxh	235	C(C(CO)O)O
h2112h	188	C([C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O)O
h1122h	106	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
h1122h_2-5	83	C([C@@H]1[C@H]([C@@H]([C@@H](CO)O1)O)O)O
h222h	60	C([C@@H]([C@@H]([C@@H](CO)O)O)O)O
h2h	57	C([C@@H](CO)O)O
h2122h_2*N	56	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)N)O
h22h	37	C([C@@H]([C@@H](CO)O)O)O
h2122h_1-5_2*NCC/3=O	30	C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)NC(C)=O
h2211m	29	C([C@@H]([C@@H]([C@H]([C@H](C)O)O)O)O)O
h122h	22	C([C@H]([C@@H]([C@@H](CO)O)O)O)O
A2122h	19	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)(=O)O
h2122h_2*NCC/3=O_6*OSO/3=O/3=O	19	C([C@@H]([C@H]([C@@H]([C@@H](COS(O)(=O)=O)O)O)O)NC(C)=O)O
h212h	17	C([C@@H]([C@H]([C@@H](CO)O)O)O)O
h2211h	15	C([C@@H]([C@@H]([C@H]([C@H](CO)O)O)O)O)O
h12h	14	C([C@H]([C@@H](CO)O)O)O
h222h_5*OPO/3O/3=O	12	C([C@@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)O
h2122h_1-5	11	C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O
A212h	10	C([C@@H]([C@H]([C@@H](CO)O)O)O)(=O)O
h2112h_1-5	10	C1[C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O
h1122h_2-5_1*OSO/3=O/3=O	9	C([C@@H]1[C@H]([C@@H]([C@@H](CO)O1)O)O)OS(O)(=O)=O
A1h	8	C([C@H](CO)O)(=O)O
A22h	8	C([C@@H]([C@@H](CO)O)O)(=O)O
h1221m	8	C([C@H]([C@@H]([C@@H]([C@H](C)O)O)O)O)O
h2122h_6*OSO/3=O/3=O	8	C([C@@H]([C@H]([C@@H]([C@@H](COS(O)(=O)=O)O)O)O)O)O
A2h	6	C([C@@H](CO)O)(=O)O
h11m	6	C([C@H]([C@H](C)O)O)O
h2112h_2*N	6	C([C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)N)O
h2112m_2*NCC/3=O	6	C([C@@H]([C@H]([C@H]([C@@H](C)O)O)O)NC(C)=O)O
hxh_1*OPO/3O/3=O	6	C(C(CO)O)OP(O)(O)=O
Axh	5	C(C(CO)O)(=O)O
h2122m_2*NCC/3=O	5	C([C@@H]([C@H]([C@@H]([C@@H](C)O)O)O)NC(C)=O)O
h2h_1*OPO/3O/3=O	5	C([C@@H](CO)O)OP(O)(O)=O
hxxxxh	5	C(C(C(C(C(CO)O)O)O)O)O
A11h	4	C([C@H]([C@H](CO)O)O)(=O)O
A2122h_2*NCC/3=O	4	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)NC(C)=O)(=O)O
h1122h_2-5_3*OSO/3=O/3=O	4	C([C@@H]1[C@H]([C@@H]([C@@H](CO)O1)O)OS(O)(=O)=O)O
h1122m	4	C([C@H]([C@H]([C@@H]([C@@H](C)O)O)O)O)O
h1222h_2-5	4	C([C@@H]1[C@@H]([C@@H]([C@@H](CO)O1)O)O)O
h2112h_2*NCC/3=O_4*OSO/3=O/3=O	4	C([C@@H]([C@H]([C@H]([C@@H](CO)O)OS(O)(=O)=O)O)NC(C)=O)O
h2112h_2*NCC/3=O_6*OSO/3=O/3=O	4	C([C@@H]([C@H]([C@H]([C@@H](COS(O)(=O)=O)O)O)O)NC(C)=O)O
