skeleton	glycans	primary_class	oversized	unsaturated	open_chain	polyol	undersized	no_anomeric	unknown_stereo	nC	first	last
a2122h	46198	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a2112h	35041	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a1122h	30249	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a1221m	11719	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
Aad21122h	9095	standard	0	0	0	0	0	0	0	9	SZ2_ACID_U	SZ3_HYDROXYL
a2211m	3288	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
a2122A	2858	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ2_ACID_U
a212h	2792	standard	0	0	0	0	0	0	0	5	SZX_ANOMER	SZ3_HYDROXYL
h2122h	2125	polyol	0	0	0	1	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
axxxxh	1878	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
a2112m	1489	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
h2112h	1349	polyol	0	0	0	1	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
a211h	1116	standard	0	0	0	0	0	0	0	5	SZX_ANOMER	SZ3_HYDROXYL
ax12xh	1086	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
Aad1122h	1061	standard	0	0	0	0	0	0	0	8	SZ2_ACID_U	SZ3_HYDROXYL
a2222h	988	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
ha122h	962	standard	0	0	0	0	0	0	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
a11221h	925	standard	0	0	0	0	0	0	0	7	SZX_ANOMER	SZ3_HYDROXYL
a2121A	836	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ2_ACID_U
ax11xh	760	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
a2112A	720	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ2_ACID_U
a1112h	671	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
axx2xh	627	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
a122h	624	standard	0	0	0	0	0	0	0	5	SZX_ANOMER	SZ3_HYDROXYL
a2122m	594	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
a1211h	567	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
axx1xh	488	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
a222h	478	standard	0	0	0	0	0	0	0	5	SZX_ANOMER	SZ3_HYDROXYL
a1122m	477	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
a1221h	402	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a2212h	401	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a1222h	373	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a2221h	367	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a1x2xh	362	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
a2121h	325	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
axxxxm	318	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
a2211h	309	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
ad222m	299	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
axxxh	285	standard	0	0	0	0	0	0	1	5	SZX_ANOMER	SZ3_HYDROXYL
a1121h	278	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
ad122m	248	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
hxh	248	polyol	0	0	0	1	1	1	1	3	SZ3_HYDROXYL	SZ3_HYDROXYL
ax22xh	236	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
a1x1xh	232	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
axx21h	219	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
h1122h	216	polyol	0	0	0	1	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
a2111h	208	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a2221m	196	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
axxxxA	196	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ2_ACID_U
a1122A	193	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ2_ACID_U
a1111h	187	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
a21eEA	183	unsaturated	0	1	0	0	0	0	0	6	SZX_ANOMER	SZ2_ACID_U
a11222h	174	standard	0	0	0	0	0	0	0	7	SZX_ANOMER	SZ3_HYDROXYL
a1212h	173	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
ax1xxh	166	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
ad122h	156	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_HYDROXYL
ax21xh	152	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
a112h	148	standard	0	0	0	0	0	0	0	5	SZX_ANOMER	SZ3_HYDROXYL
