skeleton	glycans	rescodes	nC	first	last	nAnomer	nStereoDef	nStereoUnk	nDeoxy	nUndef	nCarbonyl	nAcid	nDouble	nTriple	nSP3	nSP2	nSP	nSPX	unknownChars
a2122h	46198	890	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a2112h	35041	512	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a1122h	30249	402	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a1221m	11719	120	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
Aad21122h	9095	171	9	SZ2_ACID_U	SZ3_HYDROXYL	1	5	0	1	0	0	1	0	0	8	1	0	0	-
a2211m	3288	109	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
a2122A	2858	100	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
a212h	2792	205	5	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	5	0	0	0	-
h2122h	2125	32	6	SZ3_HYDROXYL	SZ3_HYDROXYL	0	4	0	0	0	0	0	0	0	6	0	0	0	-
axxxxh	1878	351	6	SZX_ANOMER	SZ3_HYDROXYL	1	0	4	0	0	0	0	0	0	6	0	0	0	-
a2112m	1489	117	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
h2112h	1349	11	6	SZ3_HYDROXYL	SZ3_HYDROXYL	0	4	0	0	0	0	0	0	0	6	0	0	0	-
a211h	1116	114	5	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	5	0	0	0	-
ax12xh	1086	164	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
Aad1122h	1061	30	8	SZ2_ACID_U	SZ3_HYDROXYL	1	4	0	1	0	0	1	0	0	7	1	0	0	-
a2222h	988	136	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
ha122h	962	159	6	SZ3_HYDROXYL	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	6	0	0	0	-
a11221h	925	42	7	SZX_ANOMER	SZ3_HYDROXYL	1	5	0	0	0	0	0	0	0	7	0	0	0	-
a2121A	836	40	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
ax11xh	760	113	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
a2112A	720	47	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
a1112h	671	113	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
axx2xh	627	158	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	3	0	0	0	0	0	0	6	0	0	0	-
a122h	624	150	5	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	5	0	0	0	-
a2122m	594	103	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
a1211h	567	106	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
axx1xh	488	97	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	3	0	0	0	0	0	0	6	0	0	0	-
a222h	478	196	5	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	5	0	0	0	-
a1122m	477	83	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
a1221h	402	107	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a2212h	401	73	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a1222h	373	96	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a2221h	367	86	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a1x2xh	362	89	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
a2121h	325	98	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
axxxxm	318	82	6	SZX_ANOMER	SZ3_METHYL_L	1	0	4	1	0	0	0	0	0	6	0	0	0	-
a2211h	309	67	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
ad222m	299	37	6	SZX_ANOMER	SZ3_METHYL_L	1	3	0	2	0	0	0	0	0	6	0	0	0	-
axxxh	285	130	5	SZX_ANOMER	SZ3_HYDROXYL	1	0	3	0	0	0	0	0	0	5	0	0	0	-
a1121h	278	86	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
ad122m	248	39	6	SZX_ANOMER	SZ3_METHYL_L	1	3	0	2	0	0	0	0	0	6	0	0	0	-
hxh	248	8	3	SZ3_HYDROXYL	SZ3_HYDROXYL	0	0	1	0	0	0	0	0	0	3	0	0	0	-
ax22xh	236	70	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
a1x1xh	232	39	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
axx21h	219	50	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
h1122h	216	14	6	SZ3_HYDROXYL	SZ3_HYDROXYL	0	4	0	0	0	0	0	0	0	6	0	0	0	-
a2111h	208	53	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a2221m	196	61	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
axxxxA	196	24	6	SZX_ANOMER	SZ2_ACID_U	1	0	4	0	0	0	1	0	0	5	1	0	0	-
a1122A	193	29	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
a1111h	187	59	6	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	0	0	0	0	0	0	6	0	0	0	-
a21eEA	183	9	6	SZX_ANOMER	SZ2_ACID_U	1	2	0	0	0	0	1	2	0	3	3	0	0	-
a11222h	174	20	7	SZX_ANOMER	SZ3_HYDROXYL	1	5	0	0	0	0	0	0	0	7	0	0	0	-
